id;name;region;city;address;website;phone;fax;email;director;legal_form;source_url
26;ФГУ детский санаторий «Васильевское»;Московская область;;143088, Московская область, Одинцовский район, поселок санатория им. Герцена;http://dsvas.ru/;+7 (495) 992-14-23, 992-14-36;992-14-23;9921423@mail.ru;Чекета Гейза Иванович;федеральное государственное учреждение;https://sanatoria.ru/san.php?org=26
27;Санаторий «Радуга»;Краснодарский край;Сочи;354008, Россия, Краснодарский край, г. Сочи, ул. Виноградная, 53;;+7 (8622) 59-75-02, 59-75-27;59-01-30, 59-72-22;;Рыжков Игорь Алексеевич;ГУ;https://sanatoria.ru/san.php?org=27
28;Санаторий «Итиль»;Ульяновская область;Ульяновск;432010, Ульяновская область, г. Ульяновск, ул. Оренбургская, д. 1;http://www.itilsanatorium.ru/;+7 (8422) 27-83-90, 27-83-92;27-83-90;buhitil@mail.ru;Емельянцева Наталья Федоровна;акционерное общество;https://sanatoria.ru/san.php?org=28
29;Санаторий «Пугачевский»;Саратовская область;;413709, Саратовская область, Пугачевский район, пос. Заречный;http://pugachevsky.ru/;+7 (84574) 3-17-28, 3-17-26;317-00;pugachevsky@narod.ru;;ГУ;https://sanatoria.ru/san.php?org=29
30;Санаторий «Автомобилист»;Нижегородская область;;606480, Нижегородская область, Борский район, Редькинский сельсовет, санаторий «Автомобилист»;http://xn--80aaaee8adaeyigoebzmqfgi.xn--p1ai/;+7 (831) 415-89-83, 415-56-73;463-85-87;avtomobilist.nnov@yandex.ru;Дурандин Валерий Николаевич;открытое акционерное общество;https://sanatoria.ru/san.php?org=30
31;МУП «Санаторий «Дальняя Дача»;Челябинская область;Кыштым;456870, Челябинская область, г. Кыштым, ул. Дальняя, дом 2.;http://www.dalnaya.ru/;+7 (35151) 4-94-55, 4-94-58;4-94-51;d_dacha@list.ru;Кривцова Елена Владимировна;Муниципальное учреждение;https://sanatoria.ru/san.php?org=31
32;Санаторий «Северная Ривьера»;г. Санкт-Петербург;Санкт-Петербург;197720, г. Санкт-Петербург, Зеленогорск, Приморское шфоссе, 570;http://www.kurortriviera.ru/;+7 (812) 433-31-55, 433-57-30;433-55-50;riviera.kurort@lek.ru;Ждан Ирина Леонидовна;ЗАО;https://sanatoria.ru/san.php?org=32
33;Белгородский областной центр восстановительной медицины и реабилитации;Белгородская область;Белгород;308012, Белгородская область, г. Белгород, ул. Костюкова, 67;;+7 (7722) 55-03-04, 54-56-05;54-56-05;OCWL@belgtts.ru;Свергузов Ануар Мезгутович;ГУ;https://sanatoria.ru/san.php?org=33
34;ООО «Санаторий „Митино“»;Тверская область;;172061, Тверская область, Торжокский р-н, п/о Митино, д. Митино;http://www.sanatory-mitino.ru/;+7 (48251) 6-43-36, 6-44-77;6-43-33;mitinoeo@torzhok.tver.ru;Коновалова Зоя Александровна;ООО;https://sanatoria.ru/san.php?org=34
35;Санаторий «Зеленая роща»;Республика Башкортостан;Уфа;450022, Республика Башкортостан, г. Уфа, ул. Менделеева, д. 136/5;http://www.green-kurort.ru/;+7 (800) 200-21-90, +7 (347) 225-25-30, +7 (347) 200-82-91;;green-kurort.ru@green-kurort.ru;Байтеряков Фиял Рифович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=35
36;Санаторий «Якты-Куль»;Республика Башкортостан;;453629, Республика Башкортостан, Абзелиловский район, д. Якты-Куль;http://xn----7sba6afhaillwhqgq0kua1c.xn--p1ai/;+7 (347) 22-94-777, +7 (927) 938-19-65, +7 (3519) 33-05-05;;yak_market@mail.ru;Мигаль Максим Александрович;государственное унитарное предприятие;https://sanatoria.ru/san.php?org=36
37;Санаторий «Волжский Утёс» ФГБУ Управления делами;Самарская область;;446740, Самарская область, Шигонский р-он, поселок Волжский Утес, ФГБУ санаторий «Волжский утес»;http://volgacliff.ru/;+7 (84648) 5-16-25, 5-32-74;5-12-26;reserv@volgacliff.ru;Балакин Сергей Алексеевич;федеральное государственное бюджетное учреждение;https://sanatoria.ru/san.php?org=37
38;Санаторий «Старица»;Рязанская область;Рязань;390021, Рязанская область, г. Рязань, п. Солотча, ул. Владимирская, 95;http://staritsa.ru/;+7 (4912) 288-244 доб. 1280, +7 (800) 500-00-13 (бесп.);;bron@staritsa.ru;Агеева Екатерина Валерьевна;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=38
39;Санаторий «Нижне-Ивкино»;;;610901, Кировская обл., Куменский р-н, п. Нижнеивкино, ул. Курортная, 1;http://www.n-ivkino.ru/;+7 (83343) 2-44-01, 2-44-02;2-44-43;n-ivkino@n-ivkino.ru;-главный врач;закрытое акционерное общество;https://sanatoria.ru/san.php?org=39
40;Санаторий «Хилово»;Псковская область;;182651, Псковская область, Порховский район, деревня Хилово, ул. Центральная, д. 1;http://hilovo.org/;+7 (800) 250-18-65, +7 (81134) 62-157 (приемная);;hiloffic@hilovo.org;Бергер Татьяна Вячеславовна;частное лечебно-профилактическое учреждение;https://sanatoria.ru/san.php?org=40
41;Санаторий-профилакторий «Волга» ФГУП «ПОЗИС»;;Зеленодольск ул. Гагарина;422540, Татарстан, город Зеленодольск ул. Гагарина, д. 1;http://www.sp-volga.ru/;+7 (84371) 5-76-47, 5-33-33;5-79-91;info@sp-Volga.ru;Кайль Владимир Фридрихович;ФГУП;https://sanatoria.ru/san.php?org=41
42;Санаторий «Надежда» ГУП;Республика Чувашия;Новочебоксарск;429951, Республика Чувашия, г. Новочебоксарск, ул. Набережная, 46;http://www.nadegda.ru/;+7 (8352) 77-06-26, 77-17-76;78-53-73;nadezhda_n@cbx.ru;- главный врач;ГУП;https://sanatoria.ru/san.php?org=42
43;Санаторий «Колос»;;;610901, Кировская обл., п/о Нижне-Ивкино, п. Колос;http://www.kolos.kirov.ru/;+7 (8332) 78-42-20, 48-68-68;(83354) 74-197;op-kolos@yandex.ru;Зорин Николай Афанасьевич;ООО;https://sanatoria.ru/san.php?org=43
44;Санаторий «Лесная Новь»;Кировская область;;610901, Кировская область, Куменский район, пгт. Нижнеивкино;http://lesnov.info/;+7 (83343) 2-33-12, 2-36-60;2-36-59;orpln@mail.ru;Горлов Иван Николевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=44
45;Санаторий «Родник»;Ставропольский край;Пятигорск;357500, Россия, Ставропольский край, г. Пятигорск, бульвар Гагарина, д. 21;http://www.kmvrodnik.ru/;+7 (8793) 30-18-00, 30-17-83;30-18-15;info@kmvrodnik.ru;- главный врач;лечебно профилактическое учреждение профсоюзов;https://sanatoria.ru/san.php?org=45
46;ЗАО «Санаторий „Предгорье Кавказа“»;Краснодарский край;Горячий ключ;353292, Краснодарский край, г. Горячий ключ, ул. Ленина, 2;http://predgore-kavkaza.ru/;+7 (86159) 34-335, 36-157;35-400;sanatoriy@predgore-kavkaza.ru;Каркач Ольга Викторовна;ЗАО;https://sanatoria.ru/san.php?org=46
47;Санаторий «Уральская Венеция»;Пермская область;;618740, Пермская область, п. Добрянка, ул. Энергетиков, д. 33;http://venecia.perm.ru/;+7 (34265) 2-76-98, (3422)942-942;2-76-98;venecia_1@mail.ru;- главный врач;ООО;https://sanatoria.ru/san.php?org=47
48;ЛПУ профсоюзов «Санаторий им. М. Ю. Лермонтова»;Ставропольский край;Пятигорск;357501, Ставропольский край, г. Пятигорск, ул. Лермонтовская, 9;http://www.san-lerm.ru/;+7 (8793) 40-48-81, 33-95-66;39-06-97;san.lermontova@profkurort.ru;- главный врач;некоммерческая организация, учреждение общественных организаций;https://sanatoria.ru/san.php?org=48
49;Санаторий «Тинаки» центр реабилитации ФСС РФ;Астраханская область;;416131, Астраханская область, Наримановский район, село Рассвет;http://www.tinaki.ru/;+7 (8512) 57-90-54, 57-94-63;57-90-54;fgu_tinaki@astranet.ru;Брынцева Ирина Александровна;федеральное государственное учреждение;https://sanatoria.ru/san.php?org=49
50;Санаторий «Надежда»;;Ростов-на-Дону;344068, Ростовская обл., г. Ростов-на-Дону, ул. Подъездная, 55;;+7 (863) 245-20-22, 245-23-18, 245-99-74;240-20-22, 245-20-22;nadezda.rost@mail.ru;Бояджян Артур Амбарцумович;ОАО;https://sanatoria.ru/san.php?org=50
51;Геокурорт «Янган-Тау»;Республика Башкортостан;;452492, Республика Башкортостан, Салаватский район, с. Янгантау, ул. Центральная, 20;http://yantau.ru/;+7 (347) 200 8308, +7(800)707 50 14;;yantau@mail.ru;Акбашев Альфред Рашитович;акционерное общество;https://sanatoria.ru/san.php?org=51
52;ЗАО «Санаторий „Ерино“»;;;142102, Московская обл., Подольский р-н, п. Ерино;http://www.erino.su/;+7 (4967) 67-51-75, (495) 715-91-32;67-51-71;erino@bk.ru;Титов Леонид Борисович;ЗАО;https://sanatoria.ru/san.php?org=52
53;Санаторий «Анапа»;Краснодарский край;Анапа;353444, Краснодарский край, г. Анапа, ул. Гребенская, 3;http://www.sananapa.ru/;+7 (86133) 5-68-52, 5-67-31;5-68-52;sananapa@mail.kuban.ru;Рогозян Алексей Борисович;акционерное общество;https://sanatoria.ru/san.php?org=53
54;Санаторий-профилакторий ОАО «Бассоль»;;;416532, Астраханская обл., Ахтубинский район, п. Нижний Баскунчак, ул. Максима Горького, 16;http://www.bassol.ru/;+7 (85141) 55-2-75, 55-6-32, 55–1–59;55–2–84, 55–1–47;bassol@astranet.ru;Демичев Евгений Петрович;ОАО;https://sanatoria.ru/san.php?org=54
55;ФГУ «Детский санаторий «Голубая Волна»;Краснодарский край;Анапа;353440, Россия, Краснодарский край, г. Анапа, пр. Революции, 13;;+7 (86133) 4-34-32, 3-29-96;4-34-32;golubay_volna@mail.ru;Нарушевич Роман Романович;ФГУ;https://sanatoria.ru/san.php?org=55
56;Санаторий-профилакторий «Алмед»;;Пермь;614032, г. Пермь, ул. Кировоградская, 112;http://almed.perm.ru/;+7 (8342) 252-70-42, 252-37-39;252-80-60;almed-perm@mail.ru;Федяев Александр Михайлович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=56
57;ЛПУ «Санаторий имени 30-летия Победы»;Ставропольский край;Железноводск;357416, Россия, Ставропольский край, г. Железноводск, ул. Ленина, 2а;http://www.s30p.ru/;+7 (87932) 4-23-59, 4-44-19, 6-19-87, +7 (800) 700-30-18;4-44-19;s30p@beshtau.ru;- главный врач;частное учреждение;https://sanatoria.ru/san.php?org=57
58;Санаторий-профилакторий «Салампи»;Республика Чувашия;Новечебоксарск;429951, Республика Чувашия, г. Новечебоксарск, ул. Набережная, 40;http://www.salampi.ru/;+7 (8352) 73-73-43, 73-73-18;73-73-43;salampy@rambler.ru;- главный врач;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=58
59;Базовый республиканский детский реабилитационный центр «Радуга»;Кабардино-Балкарская Республика;Нальчик;360002, Кабардино-Балкарская Республика, г. Нальчик, пер. Сочинский, 2;http://raduga-nalchik.ru/;+7 (8662) 42-65-61, 42-18-38, 42-57-07;42-18-38;radugakbr@list.ru;Бжекшиев Сураждин Лолович;государственное учреждение;https://sanatoria.ru/san.php?org=59
60;Санаторий «Заполярье»;Краснодарский край;Сочи;354073, Россия, Краснодарский край, г. Сочи, ул. Пирогова, 10;http://www.zapolarye.ru/;+7 (8622) 599-512, 599-217, 599-495;531-626. 599-313;info@zapolarye.ru;Джелиев Заурбек Хасанбекович;ООО;https://sanatoria.ru/san.php?org=60
61;Санаторий «Ясная поляна»;Севастопольское шоссе;;298660, Республика Крым, городской округ Ялта, посёлок городского типа Гаспра, Севастопольское шоссе, 52А;http://polyana-crimea.ru/;+7 (3654) 24-27-75;;;;;https://sanatoria.ru/san.php?org=61
62;Санаторий «Изумрудный»;Краснодарский край;Горячий ключ;353290, Краснодарский край, г. Горячий ключ, ул. Ленина, д. 12;http://www.izum1.com/;+7 (86159) 3-47-81, 3-48-83;3-85-78, 3-48-83;izum-bron@mail.ru;Федоровский Иван Алексеевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=62
63;Санаторий «Колос»;Ставропольский край;Кисловодск;357700, Ставропольский край, г. Кисловодск, пер. Яновского, д. 7;http://kolos-kmv.ru/;+7 (87937) 3-03-94, 3-11-12;3-03-94;koloskisl@gmail.com;Губский Николай Васильевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=63
64;Санаторий «Зори Ставрополья»;Ставропольский край;Пятигорск;357501, Россия, Ставропольский край, г. Пятигорск, ул. Дзержинского, 57;http://www.sanzori.ru/;+7 (8793) 39-12-02, 33-33-84;33-32-81;zorikmv1@mail.ru;Касютин Леонтий Алексеевич;некоммерческое партнерство;https://sanatoria.ru/san.php?org=64
65;НП «Санаторий „Ставрополье“»;Краснодарский край;Сочи;354053, Россия, Краснодарский край, г. Сочи, ул. Волжская, 64;;+7 (8622) 50-23-04, 50-06-59;50-26-36, 50-06-59;stavr@sochi.ru;Лиляков Петр Антонович;НП (частная);https://sanatoria.ru/san.php?org=65
66;Санаторий «Бобровниково»;;;162343, Вологодская обл., Великоустюгский р-н, д. Бобровниково;;+7 (81738) 6-33-17;2-53-16;bobr@vologda.ru;;МУЗ;https://sanatoria.ru/san.php?org=66
67;Санаторий «Затишье» филиал ЗАО «Брянскагроздравница»;;;243109, Брянская обл., Клинцовскии р-н, Сосновская с/администрация сан. «Затишье»;http://www.bryansksanatorii.ru/;+7 (48336) 2-99-14, 2-99-13;2-99-17;agrozdrav@yandex.ru;Козлов Сергей Егорович;филиал без права юридического лица;https://sanatoria.ru/san.php?org=67
68;Пансионат с лечением «Заря»;г. Санкт-Петербург;Санкт-Петербург;197738, Россия, г. Санкт-Петербург, п. Репино, Приморское шоссе, 423;http://www.zaryahotel.ru/;+7 (812) 432-06-55, 432-06-70;231-65-10, 432-06-59;info@zaryahotel.ru;Кокотовский Виктор Сергеевич;ГУП;https://sanatoria.ru/san.php?org=68
69;Санаторий «Черная речка»;г. Санкт-Петербург;Санкт-Петербург;197729, Россия, г. Санкт-Петербург, п. Молодежное, Приморское шоссе, 648;http://www.cardiokurort.ru/;+7 (812) 433-25-42, 433-24-94;433-28-04;info@cardiokurort.ru;;ЗАО;https://sanatoria.ru/san.php?org=69
70;Санаторий им.;;;216270, Россия, Смоленская обл., Демидовский р-н, п. Пржевальское, ул. Курортная, 1;http://www.sanatori.ru/;+7 (4812) 680-682;64-41-31;bron@hotellafer.ru;Бутаев Игорь Владимирович;общество с ограниченной возможностью;https://sanatoria.ru/san.php?org=70
71;ГУ МЦ;Ставропольский край;Ессентуки;357600, Россия, Ставропольский край, г. Ессентуки, ул. Пятигорская, 44;http://www.kavkaz.ru/;+7 (87934) 6-35-00;6-32-77;kaz@esstel.ru;;ГУ;https://sanatoria.ru/san.php?org=71
72;ГУП «Санаторий «Ясенки»;;;142137, Московская обл., Подольский р-он, п/о Лукошкино, дер. Ясенки;http://sanatorij-yasenki.ru/;+7 (495) 204-14-66;996-26-33;;Исаев Михаил Кузьмич;ГУП;https://sanatoria.ru/san.php?org=72
73;Санаторий «Архангельское»;;;143420, Московская обл., Красногорский р-н, п. Архангельское, тер. санатория «Архангельское», д. 7;http://arhangelskoe-mil.ru/;+7 (495) 561-96-00, +7 (495) 561-97-24;;orp@arhangelskoe-mil.ru;;филиал;https://sanatoria.ru/san.php?org=73
74;Базовый санаторий «Беломорье»;;;163534, Архангельская обл., Приморский р-н, п. Беломорье, д. 20;http://www.belomorye.ru/;+7 (818) 25-24-98, 25-24-43;25-24-98, 25-24-43;belomor@atnet.ru;Байдаков Сергей Николаевич;государственное учреждение;https://sanatoria.ru/san.php?org=74
75;Санаторий им.;;;396023, Россия, Воронежская обл., Рамонский р-н, с. Чертовицкое, ул. Транспортная, 2;http://sanatoriy-dzerzhinskogo.ru/;+7 (499) 110-87-99, +7 (473) 211-47-01;+7 (473) 227-98-95;info@sanatoriy-dzerzhinskogo.ru;Бережной Дмитрий Владимирович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=75
76;ЛПУ «Санаторий „Строитель“»;;;601212, Владимирская обл., Собинский р- н, п. Колокша, санаторий «Строитель»;;+7 (4922) 37-08-05, 37-32-02;37-32-02;;Зайцев Евгений Васильевич;ГУ;https://sanatoria.ru/san.php?org=76
77;Санаторий-профилакторий «Соловьиная роща»;Московская область;;141453, Московская область, Химкинский район, п. Новогорск;;+7 (495) 575-61-15, 575-61-16;575-61-15;;Частиков Владимир Ильич;ФГУП;https://sanatoria.ru/san.php?org=77
78;ОАО «Санаторий-профилакторий Конаковской ГРЭС»;;Конаково;171255, Тверская обл., г. Конаково, ул. Набережной Волги, 46;http://medicina-konakovo.ru/;+7 (48242) 4-28-29, 3-88-29;4-28-29, 3-88-73;;Карелин Александр Николаевич;ОАО;https://sanatoria.ru/san.php?org=78
79;Санаторий-профилакторий «Шарьядрев»;;Шарья;157510, Костромская обл., г. Шарья, п. Ветлужский, ул. Садовая, 12;;+7 (49449) 55-6-76, 56-4-66;55-6-76;profit@cosnet.ru;Абрамов Павел Петрович;OOO;https://sanatoria.ru/san.php?org=79
80;Дом отдыха «Березки»;;;141044, Россия, Московская обл., Мытищинский р-н, п/о Троицкое, п. Поведники, 1;http://berezky.ru/;+7 (499) 391-30-23, +7 (925) 641-61-80, +7 (495) 408-90-23;;berezky@bk.ru;;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=80
81;Санаторий «Дорохово»;;;143151, Россия, Московская обл., Рузский р-н, д. Старая Руза;http://lpusd.ru/;+7 (495) 992-76-45, 992-76-47;992-76-44;total@lpusd.ru;Иванченко Григорий Алексеевич;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=81
82;Детский санаторий «Быково» МВД России;Московская область;;140150, Московская область, Раменский район, п. Быково, ул. Вялковская, 25;http://xn--90acxqb8e.xn--d1a2a.xn--b1aew.xn--p1ai/;+7 (495) 501-34-11;501-34-11;;;федеральное казенное учреждение здравоохранения;https://sanatoria.ru/san.php?org=82
83;Санаторий «Моква»;;;305520, Россия, Курская обл., Курский р-н, д. 1-я Моква;http://mokva-kursk.ru/;+7 (4712) 32-53-01, 32-53-02;32-53-04;mokva-46@yandex.ru;-главный врач;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=83
84;Восстановительный центр детской ортопедии и травматологии «Огонёк»;Санкт-Петербургское шоссе;Санкт-Петербург;198515, г. Санкт-Петербург, п. Стрельна, Санкт-Петербургское шоссе, д. 101а;http://center-ogonek.ru/;+7 (812) 421-11-45, 421-40-43;421-41-45;ogonek@zdrav.spb.ru;Фалинский Александр Александрович;государственное бюджетное учреждение здравоохранения;https://sanatoria.ru/san.php?org=84
85;Санаторий «Подлипки»;Московская область;Мытищи;141005, Московская область, город Мытищи, Ярославское шоссе, владение 149, строение 1;http://s-podlipki.ru/;+7 (495) 582-29-90, 582-29-39;582-29-11;info@s-podlipki.ru;Луговой Василий Ефимович;общество с ограниченной ответственностью;https://sanatoria.ru/san.php?org=85
86;Санаторий «Спутник» Людиново;Калужская область;;249406, Калужская область, Людиновский район, санаторий «Спутник»;http://sputnik-kaluga.ru/;+7 (48444) 6-03-01, 6-03-03;6-03-01, 6-03-03;Lsputnik@kaluga.ru;Астахова Елена Владимировна;государственное учреждение;https://sanatoria.ru/san.php?org=86
87;Санаторий «Виктория» — пушкинский филиал ОАО ЦСТЭ;Московская область;;141255, Московская область, Пушкинский район, п/о Ельдигино, д. Раково, тер. санатория «Виктория», д. 1, стр. 1;http://viktoria-msk.ru/;+7 (495) 123-37-36, +7(916)869-58-58;;sales@viktoria-msk.ru;;филиал;https://sanatoria.ru/san.php?org=87
88;ГУЗ МО «Санаторий „Пушкино“»;;Пушкино;141211, Россия, Московская обл., г. Пушкино, Красноармейское шоссе, п/о 28-а;http://www.pushkino.com/;+7 (495) 993-34-75, 993-39-22, 993-14-13;(49653) 2-56-62;info@pushkino.com;;ГУЗ;https://sanatoria.ru/san.php?org=88
89;Пансионат с лечением «Заря»;Московская область;;142821, Московская область, Ступинский район, д. Петрово;http://hotelzarya.ru/;+7 (495) 984-24-67, +7 (49664) 7-58-14, +7 (49664) 7-58-01;+7 (49664) 7-58-01;zaryapansion@mail.ru;Беляев Александр Николаевич;Филиал ФГУП «ГКНПЦ им;https://sanatoria.ru/san.php?org=89
